J, Xi, Mu_f 
0.0,0.0,-0.12499999999999994,
0.02,1.1324670872697878e-10,-0.12499999999999994,
0.04,2.4193661742868573e-10,-0.12499999999999994,
0.06,3.2160525275455484e-10,-0.12499999999999994,
0.08,4.786118087166717e-10,-0.12499999999999994,
0.1,5.600254102208365e-10,-0.12499999999999994,
0.12,7.843467726260391e-10,-0.12499999999999994,
0.14,9.073194238424466e-10,-0.12499999999999994,
0.16,1.0562560512389904e-09,-0.12499999999999994,
0.18,1.2458231881147217e-09,-0.12499999999999994,
0.2,1.4919935939930668e-09,-0.12499999999999994,
0.22,1.5597857542062768e-09,-0.12499999999999994,
0.24,1.6796531168835283e-09,-0.12499999999999994,
0.26,2.162688833328769e-09,-0.12499999999999994,
0.28,2.127363387601468e-09,-0.12499999999999994,
0.30000000000000004,2.515488005306602e-09,-0.12499999999999994,
0.32,2.702483644154079e-09,-0.12499999999999994,
0.34,3.0298458391408703e-09,-0.12499999999999994,
0.36,3.5497447458331294e-09,-0.12499999999999994,
0.38,3.855789883636815e-09,-0.12499999999999994,
0.4,3.947667330770108e-09,-0.12499999999999994,
0.42000000000000004,4.33137432579923e-09,-0.12499999999999994,
0.44,5.032219324552401e-09,-0.12499999999999994,
0.46,5.656644874279256e-09,-0.12499999999999994,
0.48,6.301446162361871e-09,-0.12499999999999994,
0.5,6.874448684962356e-09,-0.12499999999999994,
0.52,7.707438366522432e-09,-0.12499999999999994,
0.54,8.078331153961646e-09,-0.12499999999999994,
0.5599999999999999,8.967384506191e-09,-0.12499999999999994,
0.58,9.911787260499404e-09,-0.12499999999999994,
0.6,1.1122797428912148e-08,-0.12499999999999994,
0.62,1.2483000520507255e-08,-0.12499999999999994,
0.64,1.4606889796057079e-08,-0.12499999999999994,
0.66,1.6659225975268097e-08,-0.12499999999999994,
0.68,1.857876646363722e-08,-0.12499999999999994,
0.7,2.2232872209497152e-08,-0.12499999999999994,
0.72,2.5679569559234674e-08,-0.12499999999999994,
0.74,3.103993767270913e-08,-0.12499999999999994,
0.76,3.9461749391532115e-08,-0.12499999999999994,
0.78,5.0840800040570053e-08,-0.12499999999999994,
0.8,7.052676009213806e-08,-0.12499999999999994,
0.8200000000000001,1.1286412045091427e-07,-0.12499999999999994,
0.8400000000000001,2.598435445670058e-07,-0.12499999999999994,
0.8600000000000001,0.013664219392193078,-0.12499999999999994,
0.88,0.034621405681324616,-0.12499999999999994,
0.9,0.047887115615215345,-0.12499999999999994,
0.92,0.05891171464754058,-0.12499999999999994,
0.9400000000000001,0.06878815915771072,-0.12499999999999994,
0.96,0.07796328920818472,-0.12499999999999994,
0.98,0.08667071111091068,-0.12499999999999994,
1.0,0.09505029378159616,-0.12499999999999994,
1.02,0.14831309384248767,-0.12499999999999994,
1.04,0.15547078338125273,-0.12499999999999994,
1.06,0.25711428197182307,-0.12499999999999994,
1.08,0.2876154252109341,-0.12499999999999994,
1.1,0.3072074748883229,-0.12499999999999994,
1.12,0.31682291623866066,-0.12499999999999994,
1.1400000000000001,0.3884111817909907,-0.12499999999999994,
1.1600000000000001,0.4081985440253297,-0.12499999999999994,
1.1800000000000002,0.4198641438805192,-0.12499999999999994,
1.2000000000000002,0.4474321716125532,-0.12499999999999994,
1.2200000000000002,0.4968879538148761,-0.12499999999999994,
1.2400000000000002,0.5264379848171502,-0.12499999999999994,
1.2600000000000002,0.563619515819816,-0.12499999999999994,
