J, Xi, Mu_f 
0.0,0.0,-0.37499999999999994,
0.02,5.905109579711935e-11,-0.37499999999999994,
0.04,1.2390159455784247e-10,-0.37499999999999994,
0.06,1.5820550296159973e-10,-0.37499999999999994,
0.08,2.2420996196867858e-10,-0.37499999999999994,
0.1,2.993903784778045e-10,-0.37499999999999994,
0.12,3.8588505938260983e-10,-0.37499999999999994,
0.14,3.9759884343831436e-10,-0.37499999999999994,
0.16,4.954665568582407e-10,-0.37499999999999994,
0.18,6.105534464625111e-10,-0.37499999999999994,
0.2,6.14622762391028e-10,-0.37499999999999994,
0.22,7.502908729376912e-10,-0.37499999999999994,
0.24,7.562462122807155e-10,-0.37499999999999994,
0.26,9.212062779240753e-10,-0.37499999999999994,
0.28,9.351557160551205e-10,-0.37499999999999994,
0.30000000000000004,9.532590161479132e-10,-0.37499999999999994,
0.32,1.166867822615593e-09,-0.37499999999999994,
0.34,1.2018013650207386e-09,-0.37499999999999994,
0.36,1.2478715994562554e-09,-0.37499999999999994,
0.38,1.315683090829647e-09,-0.37499999999999994,
0.4,1.389612711622634e-09,-0.37499999999999994,
0.42000000000000004,1.472329390918563e-09,-0.37499999999999994,
0.44,1.5723424579997017e-09,-0.37499999999999994,
0.46,1.6945702446617473e-09,-0.37499999999999994,
0.48,1.8482374894361484e-09,-0.37499999999999994,
0.5,2.029812113751545e-09,-0.37499999999999994,
0.52,2.26364534108306e-09,-0.37499999999999994,
0.54,2.194856675639585e-09,-0.37499999999999994,
0.5599999999999999,2.4987065021623346e-09,-0.37499999999999994,
0.58,2.4868745221157444e-09,-0.37499999999999994,
0.6,2.858710981272399e-09,-0.37499999999999994,
0.62,2.920732201175458e-09,-0.37499999999999994,
0.64,3.058467104306363e-09,-0.37499999999999994,
0.66,3.202888181340272e-09,-0.37499999999999994,
0.68,3.398598878658948e-09,-0.37499999999999994,
0.7,3.7121265194824475e-09,-0.37499999999999994,
0.72,3.6224140890105947e-09,-0.37499999999999994,
0.74,4.058441044197075e-09,-0.37499999999999994,
0.76,4.125424355635686e-09,-0.37499999999999994,
0.78,4.250852088068072e-09,-0.37499999999999994,
0.8,4.52269988620684e-09,-0.37499999999999994,
0.8200000000000001,4.861173267047962e-09,-0.37499999999999994,
0.8400000000000001,4.807884895910429e-09,-0.37499999999999994,
0.8600000000000001,5.381015391996762e-09,-0.37499999999999994,
0.88,5.6211975217330535e-09,-0.37499999999999994,
0.9,6.024632947428682e-09,-0.37499999999999994,
0.92,6.0199576595452515e-09,-0.37499999999999994,
0.9400000000000001,6.170771217909068e-09,-0.37499999999999994,
0.96,6.5737145671663046e-09,-0.37499999999999994,
0.98,7.14640015913854e-09,-0.37499999999999994,
1.0,7.510692211693649e-09,-0.37499999999999994,
1.02,8.081199625439472e-09,-0.37499999999999994,
1.04,8.353108794783134e-09,-0.37499999999999994,
1.06,9.094606338943534e-09,-0.37499999999999994,
1.08,9.416011875811798e-09,-0.37499999999999994,
1.1,9.694871748817092e-09,-0.37499999999999994,
1.12,1.0487643738331472e-08,-0.37499999999999994,
1.1400000000000001,1.1238680094450417e-08,-0.37499999999999994,
1.1600000000000001,1.1858490575469192e-08,-0.37499999999999994,
1.1800000000000002,1.2708038655034688e-08,-0.37499999999999994,
1.2000000000000002,1.299005332358821e-08,-0.37499999999999994,
1.2200000000000002,1.4235478906493806e-08,-0.37499999999999994,
1.2400000000000002,1.5337621448747788e-08,-0.37499999999999994,
1.2600000000000002,1.6539063416639837e-08,-0.37499999999999994,
