M1_c,M1_f,M2_c,M2_f,j,xi1_down,xi1_up,xi2_down,xi2_up
0,0,-0.0004451693283443937,0.0011600812514573876,1.0,0.10175919534688309,0.10175919535418336,1.8301541412361113e-12,1.935860645031762e-12
0,0,0.0001514860796114126,-0.0008761560152983776,1.2,0.15139418386063305,0.1513941841265424,3.5940592721245075e-12,3.826469166652791e-12
0,0,2.0490379720654154e-06,0.0004326130208941029,1.4,0.210798252609197,0.21079825294910776,4.718665813180586e-13,5.041685867003245e-13
0,0,-2.2711327407705538e-05,-0.0002501588495580696,1.6,0.2775934313951563,0.2775934320183989,2.4449173314816023e-13,2.623589696154397e-13
0,0,-1.5521335013069443e-05,0.0002791086369779809,1.8,0.3494728438033054,0.34947284495754877,4.2836049977960013e-13,4.608389651001853e-13
0,0,9.191352801341974e-05,-0.00016152037054826884,2.0,0.4249387519184666,0.42493875438778234,7.443926650202661e-13,7.992676596741713e-13
0,0,1.6545624126037274e-06,-0.0003630002990894591,2.2,0.5028849915661092,0.5028849955952321,1.5759878312373968e-12,1.6948528161288415e-12
0,0,-0.0003135304676395944,0.0004756431773828711,2.4000000000000004,0.5827287645833374,0.5827287788479688,2.329785348498612e-11,2.514095872862027e-11
0,0,-0.0002354008708069803,0.0006659993812663794,2.6,0.663596579562087,0.6635965934907779,2.049923789445993e-11,2.2153753590347844e-11
0,0,-0.00014460568595635147,0.0005939076419725455,2.8000000000000003,0.745333799911145,0.7453338119268069,1.0731528714323219e-11,1.1614054089813815e-11
0,0,-7.959631006407256e-05,0.0004354301937261479,3.0,0.8276358938942625,0.8276359030618424,3.9032069728386536e-12,4.229956230318707e-12
0,0,-3.774772357716989e-05,0.00030969056064236895,3.2,0.9102621757186887,0.910262183258742,1.3889031585789384e-12,1.5039126160708784e-12
0,0,-4.753567852839629e-06,0.00023142244000332198,3.4000000000000004,0.9930238024824307,0.9930238089042756,6.221854857314154e-13,6.74589106862557e-13
0,0,2.726632659911523e-05,0.00017315103901236164,3.6,1.0757874576265392,1.075787464720273,3.468900944231783e-13,3.748862806105667e-13
0,0,5.2935649656571215e-05,0.00011617416495027141,3.8000000000000003,1.1583458208122657,1.158345829095034,2.1491496138012633e-08,-3.3363325703372253e-09
0,0,7.254832886907733e-05,6.486315759203354e-05,4.0,1.2408807280790504,1.240880735876483,2.2840676906909735e-07,-2.122715020951227e-07
