J, Xi, Mu_f 
0.0,0.0,-0.002646652411203804,
0.001,1.4470294388214747e-08,-0.002646652411203804,
0.002,2.78176434150125e-08,-0.002646652411203804,
0.003,5.135384613842655e-08,-0.002646652411203804,
0.004,7.182738452829141e-08,-0.002646652411203804,
0.005,8.219151209609773e-08,-0.002646652411203804,
0.006,1.149480389354931e-07,-0.002646652411203804,
0.007,1.3875009677822213e-07,-0.002646652411203804,
0.008,1.4919392141769893e-07,-0.002646652411203804,
0.009000000000000001,1.7180374355283116e-07,-0.002646652411203804,
0.01,2.132722211555561e-07,-0.002646652411203804,
0.011,2.4984100776168164e-07,-0.002646652411203804,
0.012,2.847799216146116e-07,-0.002646652411203804,
0.013000000000000001,3.2669784631193116e-07,-0.002646652411203804,
0.014,3.925789585661682e-07,-0.002646652411203804,
0.015,4.162875317609241e-07,-0.002646652411203804,
0.016,4.875153327683721e-07,-0.002646652411203804,
0.017,5.518971109203391e-07,-0.002646652411203804,
0.018000000000000002,6.333049117598925e-07,-0.002646652411203804,
0.019,7.177837213491378e-07,-0.002646652411203804,
0.02,0.18377569003784827,-0.002646652411203804,
0.021,0.31552896128108804,-0.002646652411203804,
0.022,0.4405953380949817,-0.002646652411203804,
0.023,0.5636813212910781,-0.002646652411203804,
0.024,0.683841560114741,-0.002646652411203804,
0.025,0.8009669669237468,-0.002646652411203804,
0.026000000000000002,0.9152003819766851,-0.002646652411203804,
0.027,1.0267561940256833,-0.002646652411203804,
0.028,1.1358669444797664,-0.002646652411203804,
0.029,1.2427491175564729,-0.002646652411203804,
0.03,1.3476036097357043,-0.002646652411203804,
0.031,1.450612221836413,-0.002646652411203804,
0.032,1.551937745327799,-0.002646652411203804,
0.033,1.6517257528634068,-0.002646652411203804,
0.034,1.7501062708662691,-0.002646652411203804,
0.035,1.8471955636147475,-0.002646652411203804,
0.036000000000000004,1.943097616890461,-0.002646652411203804,
0.037,2.037905734142847,-0.002646652411203804,
0.038,2.131703774757648,-0.002646652411203804,
0.039,2.2245673231819674,-0.002646652411203804,
