J, Xi, Mu_f 
0.0,0.0,-0.002646652411203804,
0.001,1.943176897928846e-08,-0.002646652411203804,
0.002,4.117320495496587e-08,-0.002646652411203804,
0.003,5.678161981810148e-08,-0.002646652411203804,
0.004,8.997306536283203e-08,-0.002646652411203804,
0.005,1.1811588050882297e-07,-0.002646652411203804,
0.006,1.3522382500149503e-07,-0.002646652411203804,
0.007,1.6453664879870636e-07,-0.002646652411203804,
0.008,2.144303838116843e-07,-0.002646652411203804,
0.009000000000000001,2.6163716308410903e-07,-0.002646652411203804,
0.01,3.0832177431351307e-07,-0.002646652411203804,
0.011,3.618489773360879e-07,-0.002646652411203804,
0.012,3.894130680970297e-07,-0.002646652411203804,
0.013000000000000001,4.5277415814053313e-07,-0.002646652411203804,
0.014,5.357633587352178e-07,-0.002646652411203804,
0.015,6.341241438957276e-07,-0.002646652411203804,
0.016,7.780231218173635e-07,-0.002646652411203804,
0.017,9.012386536804838e-07,-0.002646652411203804,
0.018000000000000002,1.0870423335644967e-06,-0.002646652411203804,
0.019,1.3408596388109333e-06,-0.002646652411203804,
0.02,0.2293624150692533,-0.002646652411203804,
0.021,0.3424068513579752,-0.002646652411203804,
0.022,0.4603487293240197,-0.002646652411203804,
0.023,0.5786992446243677,-0.002646652411203804,
0.024,0.6955792526691462,-0.002646652411203804,
0.025,0.8103244942110714,-0.002646652411203804,
0.026000000000000002,0.9227616834764385,-0.002646652411203804,
0.027,1.0329187805366664,-0.002646652411203804,
0.028,1.1409129110662606,-0.002646652411203804,
0.029,1.24688586922806,-0.002646652411203804,
0.03,1.3509883795875854,-0.002646652411203804,
0.031,1.4533668809661913,-0.002646652411203804,
0.032,1.5541588783293765,-0.002646652411203804,
0.033,1.653491194646186,-0.002646652411203804,
0.034,1.7514796679177311,-0.002646652411203804,
0.035,1.8482296135775442,-0.002646652411203804,
0.036000000000000004,1.9438364160825667,-0.002646652411203804,
0.037,2.038386523275139,-0.002646652411203804,
0.038,2.131958299527563,-0.002646652411203804,
0.039,2.2246227197606943,-0.002646652411203804,
