J, Xi, Mu_f 
0.0,0.0,-0.002646652411203804,
0.001,1.607627248234439e-08,-0.002646652411203804,
0.002,3.184280950508949e-08,-0.002646652411203804,
0.003,4.967892297509879e-08,-0.002646652411203804,
0.004,7.236223348909311e-08,-0.002646652411203804,
0.005,8.65820826126377e-08,-0.002646652411203804,
0.006,1.2638573606618009e-07,-0.002646652411203804,
0.007,1.3554406676908785e-07,-0.002646652411203804,
0.008,1.8127582698080692e-07,-0.002646652411203804,
0.009000000000000001,1.8970982030506744e-07,-0.002646652411203804,
0.01,2.505714238997897e-07,-0.002646652411203804,
0.011,2.746554110393479e-07,-0.002646652411203804,
0.012,3.3929795213094686e-07,-0.002646652411203804,
0.013000000000000001,3.7640779744143124e-07,-0.002646652411203804,
0.014,4.4523305958739925e-07,-0.002646652411203804,
0.015,4.79042758898391e-07,-0.002646652411203804,
0.016,5.783404682443446e-07,-0.002646652411203804,
0.017,6.349144522004801e-07,-0.002646652411203804,
0.018000000000000002,7.35502725387203e-07,-0.002646652411203804,
0.019,8.816307114124109e-07,-0.002646652411203804,
0.02,0.18393602493471944,-0.002646652411203804,
0.021,0.3156051971662595,-0.002646652411203804,
0.022,0.4406768919154908,-0.002646652411203804,
0.023,0.563766452059706,-0.002646652411203804,
0.024,0.6839293713152987,-0.002646652411203804,
0.025,0.8010568706274042,-0.002646652411203804,
0.026000000000000002,0.9152919331916187,-0.002646652411203804,
0.027,1.026849030819728,-0.002646652411203804,
0.028,1.1359607640685092,-0.002646652411203804,
0.029,1.2428436543366503,-0.002646652411203804,
0.03,1.347698635191232,-0.002646652411203804,
0.031,1.4507075369667923,-0.002646652411203804,
0.032,1.5520331767002258,-0.002646652411203804,
0.033,1.6518211493771582,-0.002646652411203804,
0.034,1.7502015010748524,-0.002646652411203804,
0.035,1.8472905133878206,-0.002646652411203804,
0.036000000000000004,1.9431921874574065,-0.002646652411203804,
0.037,2.037999840278283,-0.002646652411203804,
0.038,2.1317973432045494,-0.002646652411203804,
0.039,2.2246602912235605,-0.002646652411203804,
