J, Xi, Mu_f 
0.0,0.0,-0.12499999999999994,
0.01,1.7809032051589295e-11,-0.12499999999999994,
0.02,3.9453322494227655e-11,-0.12499999999999994,
0.03,6.555566696077657e-11,-0.12499999999999994,
0.04,7.781275633043526e-11,-0.12499999999999994,
0.05,1.0789421173226687e-10,-0.12499999999999994,
0.06,1.1561178304908614e-10,-0.12499999999999994,
0.07,1.4975963094614975e-10,-0.12499999999999994,
0.08,1.533426313871348e-10,-0.12499999999999994,
0.09,1.9185662763507877e-10,-0.12499999999999994,
0.1,1.9173676569331685e-10,-0.12499999999999994,
0.11,2.3472086315026664e-10,-0.12499999999999994,
0.12,2.3098442874571995e-10,-0.12499999999999994,
0.13,2.787586400932699e-10,-0.12499999999999994,
0.14,2.717679217876864e-10,-0.12499999999999994,
0.15000000000000002,3.246398828599169e-10,-0.12499999999999994,
0.16,3.1433157040655136e-10,-0.12499999999999994,
0.17,3.742502539490234e-10,-0.12499999999999994,
0.18,3.6179043115743775e-10,-0.12499999999999994,
0.19,4.271004063495008e-10,-0.12499999999999994,
0.2,4.113046641378384e-10,-0.12499999999999994,
0.21000000000000002,4.837271940163258e-10,-0.12499999999999994,
0.22,4.646886269294211e-10,-0.12499999999999994,
0.23,5.445523463375107e-10,-0.12499999999999994,
0.24,5.241040617669607e-10,-0.12499999999999994,
0.25,5.041157906851807e-10,-0.12499999999999994,
0.26,5.892596586636292e-10,-0.12499999999999994,
0.27,5.673987848361248e-10,-0.12499999999999994,
0.27999999999999997,6.635864819209807e-10,-0.12499999999999994,
0.29,6.40613470055398e-10,-0.12499999999999994,
0.3,7.467729543569023e-10,-0.12499999999999994,
0.31,7.18783373202826e-10,-0.12499999999999994,
0.32,6.940469945829004e-10,-0.12499999999999994,
0.33,8.164926096976315e-10,-0.12499999999999994,
0.34,7.894197816185039e-10,-0.12499999999999994,
0.35,7.655749196716173e-10,-0.12499999999999994,
0.36,8.937475309120199e-10,-0.12499999999999994,
0.37,8.656821019309275e-10,-0.12499999999999994,
0.38,8.412484743159441e-10,-0.12499999999999994,
0.39,9.848821074269888e-10,-0.12499999999999994,
0.4,9.66182186258632e-10,-0.12499999999999994,
0.41000000000000003,9.485814643016392e-10,-0.12499999999999994,
0.42000000000000004,1.1130855142982809e-09,-0.12499999999999994,
0.43000000000000005,1.086414769241809e-09,-0.12499999999999994,
0.44,1.0676775768617073e-09,-0.12499999999999994,
0.45,1.0541812780191726e-09,-0.12499999999999994,
0.46,1.0477829592789064e-09,-0.12499999999999994,
0.47000000000000003,1.2367275125453654e-09,-0.12499999999999994,
0.48,1.2190510737145737e-09,-0.12499999999999994,
0.49,1.211722209163266e-09,-0.12499999999999994,
0.5,1.2223567176853257e-09,-0.12499999999999994,
0.51,1.2237198278043461e-09,-0.12499999999999994,
0.52,1.4435069433068672e-09,-0.12499999999999994,
0.53,1.445673725148123e-09,-0.12499999999999994,
0.54,1.4768809052151941e-09,-0.12499999999999994,
0.55,1.494679033643646e-09,-0.12499999999999994,
0.56,1.4996402496172731e-09,-0.12499999999999994,
0.5700000000000001,1.5544947318921848e-09,-0.12499999999999994,
0.5800000000000001,1.586918504369613e-09,-0.12499999999999994,
0.5900000000000001,1.6215048890373596e-09,-0.12499999999999994,
0.6000000000000001,1.7111323979436091e-09,-0.12499999999999994,
0.6100000000000001,1.731776479342301e-09,-0.12499999999999994,
0.6200000000000001,1.8363749455299138e-09,-0.12499999999999994,
0.6300000000000001,1.6352077311727163e-09,-0.12499999999999994,
