J, Xi, Mu_f 
0.0,0.0,-0.24999999999999994,
0.01,1.4211110609246542e-11,-0.24999999999999994,
0.02,3.090343470388018e-11,-0.24999999999999994,
0.03,5.0403563266434e-11,-0.24999999999999994,
0.04,5.866235120611033e-11,-0.24999999999999994,
0.05,7.980577108284245e-11,-0.24999999999999994,
0.06,1.0423093778900305e-10,-0.24999999999999994,
0.07,1.0655939536407384e-10,-0.24999999999999994,
0.08,1.3271458434934746e-10,-0.24999999999999994,
0.09,1.626918281487258e-10,-0.24999999999999994,
0.1,1.5890820644644068e-10,-0.24999999999999994,
0.11,1.905447032605088e-10,-0.24999999999999994,
0.12,1.8315036028664273e-10,-0.24999999999999994,
0.13,2.1642220323193012e-10,-0.24999999999999994,
0.14,2.5418629619784765e-10,-0.24999999999999994,
0.15000000000000002,2.4092665173720386e-10,-0.24999999999999994,
0.16,2.810936426079459e-10,-0.24999999999999994,
0.17,2.6555945276114154e-10,-0.24999999999999994,
0.18,3.088255255139118e-10,-0.24999999999999994,
0.19,3.566218313061158e-10,-0.24999999999999994,
0.2,3.343536797429332e-10,-0.24999999999999994,
0.21000000000000002,3.8374412226003177e-10,-0.24999999999999994,
0.22,3.589147066760061e-10,-0.24999999999999994,
0.23,4.111817010014513e-10,-0.24999999999999994,
0.24,3.842075472521866e-10,-0.24999999999999994,
0.25,4.385654151388435e-10,-0.24999999999999994,
0.26,4.998082481419848e-10,-0.24999999999999994,
0.27,4.665904845601421e-10,-0.24999999999999994,
0.27999999999999997,5.321478346634619e-10,-0.24999999999999994,
0.29,4.974468358586737e-10,-0.24999999999999994,
0.3,5.687943459285076e-10,-0.24999999999999994,
0.31,5.332068163145742e-10,-0.24999999999999994,
0.32,6.05396121317647e-10,-0.24999999999999994,
0.33,5.661208676463424e-10,-0.24999999999999994,
0.34,6.443984362939502e-10,-0.24999999999999994,
0.35,6.048044460550189e-10,-0.24999999999999994,
0.36,6.86578729599631e-10,-0.24999999999999994,
0.37,6.428123538365659e-10,-0.24999999999999994,
0.38,7.283906283287863e-10,-0.24999999999999994,
0.39,6.830167528384655e-10,-0.24999999999999994,
0.4,7.78591989714674e-10,-0.24999999999999994,
0.41000000000000003,7.35297903217472e-10,-0.24999999999999994,
0.42000000000000004,8.345564949274719e-10,-0.24999999999999994,
0.43000000000000005,7.85979977357399e-10,-0.24999999999999994,
0.44,8.953411806649827e-10,-0.24999999999999994,
0.45,8.490250752484886e-10,-0.24999999999999994,
0.46,9.64860180928949e-10,-0.24999999999999994,
0.47000000000000003,9.126069231304478e-10,-0.24999999999999994,
0.48,8.652767823916983e-10,-0.24999999999999994,
0.49,9.89183330920753e-10,-0.24999999999999994,
0.5,9.418713265258147e-10,-0.24999999999999994,
0.51,1.073151070819088e-09,-0.24999999999999994,
0.52,1.0360903852242934e-09,-0.24999999999999994,
0.53,9.863895670675633e-10,-0.24999999999999994,
0.54,1.1237553212247653e-09,-0.24999999999999994,
0.55,1.0754898792690197e-09,-0.24999999999999994,
0.56,1.2295850179503282e-09,-0.24999999999999994,
0.5700000000000001,1.1879926907788643e-09,-0.24999999999999994,
0.5800000000000001,1.1613070134836446e-09,-0.24999999999999994,
0.5900000000000001,1.1194087512042037e-09,-0.24999999999999994,
0.6000000000000001,1.2758076110744713e-09,-0.24999999999999994,
0.6100000000000001,1.24087812960751e-09,-0.24999999999999994,
0.6200000000000001,1.212178082492304e-09,-0.24999999999999994,
0.6300000000000001,1.4250029504502247e-09,-0.24999999999999994,
